Hybrid_CSID,Center Name,City,Lat,Long,% Ach.,Aug 24 Target,Aug 24 Achieved,Delta,
1060,Cult Fraser Road,Others,25.62,85.11,122.66%,"13,036","15,990","2,954",
2832,Cult Sector 26 Chandigarh,Others,30.73,76.8,58.18%,"17,171","9,990","-7,181",
1075,Cult Kota,Others,25.15,75.85,0.00%,"19,959",0,"-19,959",
182,Cult Basavanagudi,Bangalore,12.94,77.57,813.05%,"3,450","28,050","24,600",
1195,Speed Fitness (Bandlaguda),Hyderabad,17.36,78.4,133.86%,"11,348","15,190","3,842",
3037,Brad Fitness 3.0,Bangalore,12.9,77.62,141.74%,"10,717","15,190","4,473",
3344,Volt Fitness Studio (Alkapur),Hyderabad,17.39,78.38,0.00%,"17,667",0,"-17,667",
2371,"Gold's Gym (Greater Kailash, Jammu)",Others,32.67,74.88,0.00%,"12,139",0,"-12,139",
1698,F99 Fit (Pragathi Nagar),Hyderabad,17.52,78.4,0.00%,"18,457",0,"-18,457",
3470,Cult Lokhandwala,Mumbai,19.14,72.83,311.76%,"12,605","39,298","26,693",
1166,Iron Fist (Moosapet),Hyderabad,17.47,78.41,0.00%,"13,717",0,"-13,717",
574,Cult Vidyaranyapura,Bangalore,13.08,77.56,0.00%,"13,098",0,"-13,098",
1079,GymPoint The Fitness Studio (Malakpet),Hyderabad,17.37,78.51,0.00%,"11,123",0,"-11,123",
754,GymPoint The Fitness Studio (Madhapur),Hyderabad,17.45,78.39,0.00%,"14,507",0,"-14,507",
3132,Impackt Fitness 3.0 (Attapur),Hyderabad,17.37,78.42,84.62%,"14,507","12,276","-2,231",
470,Fitmax,Hyderabad,17.5,78.34,104.20%,"15,297","15,940",643,
2731,Nexus Club ( Tirumalagiri ),Hyderabad,17.47,78.51,0.00%,"13,717",0,"-13,717",
1692,Vibe Fitness Studio (Kompally),Hyderabad,17.52,78.48,0.00%,"11,348",0,"-11,348",
2023,GymX Fitness Redefined (HBR Layout),Bangalore,13.03,77.63,114.26%,"11,472","13,108","1,636",
3360,1 Repp Gyym (Pune),Pune,18.59,73.8,0.00%,"16,080",0,"-16,080",
843,Your Life Fitness Gym (Sector 61 Noida),Gurgaon,28.6,77.36,363.14%,"18,706","67,930","49,224",
2109,Cult Dayanand Vihar,Gurgaon,28.65,77.3,171.57%,"17,532","30,080","12,548",
