Hybrid_CSID,Center Name,City,Lat,Long,% Ach.,Aug 24 Target,Aug 24 Achieved,Delta,
290,Cult Dilsukhnagar,Hyderabad,17.37,78.52,168.09%,"34,413","57,846","23,433",
490,Cult Gym Indiranagar,Bangalore,12.96,77.64,77.26%,"35,551","27,466","-8,085",
3036,Cult Murugeshpalya,Bangalore,12.96,77.66,246.92%,"42,319","104,495","62,176",
740,Gold's Gym (Baner),Pune,18.56,73.77,28.36%,"33,458","9,490","-23,968",
3053,Cult Thane Hiranandani Estate,Mumbai,19.25,72.98,23.32%,"42,412","9,892","-32,520",
2943,Cult Ameerpet,Hyderabad,17.44,78.45,42.94%,"35,045","15,050","-19,995",
2415,Cult RT Nagar Road,Bangalore,13.03,77.59,185.87%,"31,136","57,873","26,737",
1970,Cult Sarjapur - Dommasandra,Bangalore,12.88,77.76,215.47%,"28,836","62,133","33,297",
3184,"Cult Financial District, PnP Towers",Hyderabad,17.41,78.34,0.00%,"35,045",0,"-35,045",
2751,"Cult Basaveshwar Nagar, 4th Block",Bangalore,12.99,77.54,193.06%,"30,836","59,532","28,696",
201,Cult Pitampura,Gurgaon,28.71,77.14,0.00%,"27,873",0,"-27,873",
2475,Cult Kokapet (Hybrid),Hyderabad,17.39,78.34,105.47%,"29,516","31,130","1,614",
1475,Cult Hennur,Bangalore,13.06,77.65,46.06%,"32,404","14,927","-17,477",
2235,Cult Kaggadasapura,Bangalore,12.99,77.67,105.16%,"31,129","32,735","1,606",
467,Thew Fitness (DLF Phase 1),Gurgaon,28.47,77.1,180.00%,"33,384","60,091","26,707",
1025,Cult Kalyan Nagar 5th Block,Bangalore,13.03,77.64,80.66%,"41,297","33,309","-7,988",
2835,Cult Gym Koramangala 4th Block,Bangalore,12.93,77.63,119.26%,"47,119","56,193","9,074",
916,Play On Fitness (Sarjapur),Bangalore,12.91,77.68,169.71%,"35,047","59,479","24,432",
2521,Cult Kothapet,Hyderabad,17.36,78.55,87.87%,"31,885","28,018","-3,867",
193,Cult Kalyan Nagar,Bangalore,13.03,77.63,144.19%,"31,626","45,601","13,975",
2651,"Cult Rajajinagar, Dr Rajkumar Rd",Bangalore,12.99,77.56,150.98%,"38,879","58,699","19,820",
1192,Cult Neeladri Road ECity,Bangalore,12.84,77.64,47.01%,"32,312","15,190","-17,122",
